Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMEL SEC SCHOOL,2530001,ANDAMAN & NICOBAR,ANDAMAN,PHOENIX BAY HADDO POST PORT BLAIR A & N ISLANDS,744102,3192,"230411 , 30393",30393,,reshac@gmail.com,,1968,7/3/2000 0:00,Sr Maria Reshma,1,"M.Sc,M.Ed",8,20,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,CARMEL ASHRAM SOCIETY,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crescent public school,2530013,ANDAMAN & NICOBAR,ANDAMAN,"wimberly gunj po, south andaman, ferrar gunj andaman",744206,3192,"256129 ,",,03192-232594,cpsandaman@gmail.com,,1999,6/26/1999 0:00,E SAIRA BANU,0,ma b ed,11,11,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,islamic welfare society,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNMENT SECONDARY SCHOOL,2520090,ANDAMAN & NICOBAR,ANDAMAN,"PINAKI, BILLGROUND, N & M ANDAMAN",744201,319,"270798 ,",9476006268,,gsspinakinagar@rediffmail.com,,1961,4/1/1991 0:00,SURESH CHANDRA MAZUMDER,1,,,,Secondary School,Provisional,1/4/2013,31/3/2015,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNMENT SECONDARY SCHOOL,2520087,ANDAMAN & NICOBAR,ANDAMAN,"MADHEEPUR, DIGLIPUR, NORTH ANDAMAN",744206,3192,"03192 ,",272071,9679584608,gsssubashgram2@yahoo.co.in,,1961,4/1/1991 0:00,P.J. EAPPER,1,B.A. B.ED,,,Secondary School,Provisional,1/4/2014,31/3/2015,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt decondary school,2520094,ANDAMAN & NICOBAR,ANDAMAN,"tamaloo, car nicobar, distt nicobar, a & n island",744301,3193,"265037 ,",,,,,,,SAFYAZ BEGUM,0,,,,Secondary School,Provisional,1/4/2015,31/3/2017,,,,,,,,,
